id,kode_provinsi,nama_provinsi,nama_kabupaten_kota,jumlah_penduduk,jumlah_penduduk_miskin,persentase_penduduk_miskin,tingkat_pengangguran_terbuka,pdrb_total_adhk,harapan_lama_sekolah,tahun,skor,kesejahteraan
122,32,JAWA BARAT,PURWAKARTA,910007,80300,8.8,11.63,36177000000    ,11.33,2014,39.10113462,TIDAK SEJAHTERA
123,32,JAWA BARAT,KARAWANG,2250120,229000,10.15,9.17,126749000000    ,11.64,2014,40.16828102,CUKUP SEJAHTERA
124,32,JAWA BARAT,BEKASI,3122700,156600,4.97,12.5,197164000000    ,11.73,2014,24.68892953,TIDAK SEJAHTERA
125,32,JAWA BARAT,BANDUNG BARAT,1609510,197900,12.26,8.75,24265000000    ,11.06,2014,45.07648854,CUKUP SEJAHTERA
126,32,JAWA BARAT,PANGANDARAN,388320,0,0,9.42,5974000000    ,11.89,2014,27.5302466,TIDAK SEJAHTERA
127,32,JAWA BARAT,KOTA BOGOR,1030720,80100,7.74,8.57,23835000000    ,12.23,2014,37.05972695,TIDAK SEJAHTERA
128,32,JAWA BARAT,KOTA SUKABUMI,315001,24100,7.65,7.03,6644000000    ,13.18,2014,38.47772795,TIDAK SEJAHTERA
129,32,JAWA BARAT,KOTA BANDUNG,2470800,115000,4.65,6.2,138961000000    ,13.33,2014,26.18616981,TIDAK SEJAHTERA
130,32,JAWA BARAT,KOTA CIREBON,304584,30600,10.03,7.87,12541000000    ,12.93,2014,41.75410339,CUKUP SEJAHTERA
131,32,JAWA BARAT,KOTA BEKASI,2642510,139700,5.25,10.38,52534000000    ,13.28,2014,27.13384694,TIDAK SEJAHTERA
132,32,JAWA BARAT,KOTA DEPOK,2033510,47500,2.32,14.18,35193000000    ,13.3,2014,22.56448365,TIDAK SEJAHTERA
133,32,JAWA BARAT,KOTA CIMAHI,579015,31800,5.47,10.12,16955000000    ,13.71,2014,34.60611869,TIDAK SEJAHTERA
134,32,JAWA BARAT,KOTA TASIKMALAYA,654794,104500,15.95,8.14,11637000000    ,13.36,2014,50.58427818,CUKUP SEJAHTERA
135,32,JAWA BARAT,KOTA BANJAR,180515,12700,6.95,6.4,2492000000    ,12.42,2014,37.8742172,TIDAK SEJAHTERA
136,32,JAWA BARAT,BOGOR,5459670,487100,8.96,5.85,124487000000    ,11.83,2015,32.24011422,TIDAK SEJAHTERA
137,32,JAWA BARAT,SUKABUMI,2434220,217900,8.96,8.22,37265000000    ,12.13,2015,36.99155424,TIDAK SEJAHTERA
138,32,JAWA BARAT,CIANJUR,2243900,273900,12.21,14.88,25352000000    ,11.83,2015,45.03179092,CUKUP SEJAHTERA
139,32,JAWA BARAT,BANDUNG,3534110,281000,8,7.35,64702000000    ,12.13,2015,32.28478276,TIDAK SEJAHTERA
140,32,JAWA BARAT,GARUT,2548720,325700,12.81,6.41,31919000000    ,11.65,2015,46.56966945,CUKUP SEJAHTERA
141,32,JAWA BARAT,TASIKMALAYA,1736000,208100,11.99,9.63,19662000000    ,12.44,2015,44.48444122,CUKUP SEJAHTERA
142,32,JAWA BARAT,CIAMIS,1168680,104900,8.98,7.34,17780000000    ,13.59,2015,38.98254894,TIDAK SEJAHTERA
143,32,JAWA BARAT,KUNINGAN,1055420,147200,13.97,9.45,13176000000    ,12.03,2015,47.92373523,CUKUP SEJAHTERA
144,32,JAWA BARAT,CIREBON,2126180,313200,14.77,9.8,27596000000    ,11.79,2015,50.91236257,CUKUP SEJAHTERA
145,32,JAWA BARAT,MAJALENGKA,1182110,167500,14.19,7.17,16591000000    ,11.74,2015,48.46308115,CUKUP SEJAHTERA
146,32,JAWA BARAT,SUMEDANG,1137270,129000,11.36,9.54,18950000000    ,12.9,2015,43.31179758,CUKUP SEJAHTERA
147,32,JAWA BARAT,INDRAMAYU,1691390,253100,14.98,9.8,56663000000    ,12.09,2015,50.72670703,CUKUP SEJAHTERA
148,32,JAWA BARAT,SUBANG,1529390,187200,12.27,11.18,23697000000    ,11.46,2015,45.01485802,CUKUP SEJAHTERA
149,32,JAWA BARAT,PURWAKARTA,921598,83900,9.14,10.97,37899000000    ,11.44,2015,39.61519479,TIDAK SEJAHTERA
150,32,JAWA BARAT,KARAWANG,2273580,235000,10.37,9.02,132454000000    ,11.69,2015,40.58935457,CUKUP SEJAHTERA
151,32,JAWA BARAT,BEKASI,3246010,169200,5.27,9.5,205950000000    ,11.93,2015,24.93000874,TIDAK SEJAHTERA
152,32,JAWA BARAT,BANDUNG BARAT,1629420,205700,12.67,7.69,25486000000    ,11.39,2015,45.8431775,CUKUP SEJAHTERA
153,32,JAWA BARAT,PANGANDARAN,390483,42000,10.76,11.43,6271000000    ,11.99,2015,42.68415767,CUKUP SEJAHTERA
154,32,JAWA BARAT,KOTA BOGOR,1047920,79200,7.6,6.52,25299000000    ,12.36,2015,36.72407089,TIDAK SEJAHTERA
155,32,JAWA BARAT,KOTA SUKABUMI,318117,27800,8.79,7.04,6985000000    ,13.24,2015,40.01486113,CUKUP SEJAHTERA
156,32,JAWA BARAT,KOTA BANDUNG,2481470,114100,4.61,7.65,149580000000    ,13.63,2015,26.01183584,TIDAK SEJAHTERA
157,32,JAWA BARAT,KOTA CIREBON,307494,31700,10.36,8.09,13269000000    ,12.94,2015,42.17922831,CUKUP SEJAHTERA
158,32,JAWA BARAT,KOTA BEKASI,2714820,146900,5.46,14.87,55456000000    ,13.36,2015,27.3012923,TIDAK SEJAHTERA
159,32,JAWA BARAT,KOTA DEPOK,2106100,50000,2.4,8.48,37529000000    ,13.54,2015,22.32714062,TIDAK SEJAHTERA
